company,technology_process,capacity_tco2_day,deployment_stage,source
Nuada,"MOF adsorbent, VPSA",1–4000,Commercial development,Nuada CO2
Svante,"MOF-coated structured adsorbent, RTSA",Pilot scale,Pilot plant,Svante Inc.
Captivate Technology,"MUF-16 MOF, PSA",1–1000,Technology development,Captivate Technology
