catalyst,co_catalyst,reaction_conditions,product,yield_pct,selectivity_pct,reference
UiO-66-NH2/Pd,Without co-catalyst,"RWGS reaction, 593 K, 20 bar, H2:CO2 3:1",CO,25,31,Fw95 [654]
HZSM-5/Pd,,"RWGS reaction, 593 K, 20 bar, H2:CO2 3:1",,4,91,Fw95 [654]
HZSM-5@UiO-66-NH2/Pd5.0,,"RWGS reaction, 593 K, 20 bar, H2:CO2 3:1",,17,92,Fw95 [654]
HZSM-5@UiO-66-NH2/Pd5.0,,"RWGS reaction, 633 K, 20 bar, H2:CO2 3:1",,19,32,Fw95 [654]
HZSM-5@UiO-66-NH2/Pd5.0,,"RWGS reaction, 673 K, 20 bar, H2:CO2 3:1",,34,16,Fw95 [654]
Pd@UiO-66,Without co-catalyst,"RWGS reaction, 673 K, 20 bar, H2:CO2 3:1",CO,15,52,Fn93 [653]
Pd@PtNPs@UiO-66,,"RWGS reaction, 673 K, 20 bar, H2:CO2 3:1",,16,86,Fn93 [653]
Pd@PtNCs@UiO-66,,"RWGS reaction, 673 K, 20 bar, H2:CO2 3:1",,20,72,Fn93 [653]
UiO-67-IL,TBAB,"383 K, 1 bar, 3 h",Cyclic carbonate,99,-,Fq92 [601]
UiO-67-IL,TBAB,"383 K, 1 bar, 3 h",Cyclic carbonate,,,Fq92 [601]
"BAT = bisallyloxyterephthalate. TBAI = Tetrabutylammonium iodide. TBAB = Tetrabutylammonium bromide, DICBr = iso-propyl moieties, CO = Carbon monoxide","BAT = bisallyloxyterephthalate. TBAI = Tetrabutylammonium iodide. TBAB = Tetrabutylammonium bromide, DICBr = iso-propyl moieties, CO = Carbon monoxide","BAT = bisallyloxyterephthalate. TBAI = Tetrabutylammonium iodide. TBAB = Tetrabutylammonium bromide, DICBr = iso-propyl moieties, CO = Carbon monoxide","BAT = bisallyloxyterephthalate. TBAI = Tetrabutylammonium iodide. TBAB = Tetrabutylammonium bromide, DICBr = iso-propyl moieties, CO = Carbon monoxide","BAT = bisallyloxyterephthalate. TBAI = Tetrabutylammonium iodide. TBAB = Tetrabutylammonium bromide, DICBr = iso-propyl moieties, CO = Carbon monoxide","BAT = bisallyloxyterephthalate. TBAI = Tetrabutylammonium iodide. TBAB = Tetrabutylammonium bromide, DICBr = iso-propyl moieties, CO = Carbon monoxide","BAT = bisallyloxyterephthalate. TBAI = Tetrabutylammonium iodide. TBAB = Tetrabutylammonium bromide, DICBr = iso-propyl moieties, CO = Carbon monoxide"
