polymer,filler,loading_pct,conditions,co2_permeability_or_gpu,n2_permeability_or_gpu,ch4_permeability_or_gpu,h2_permeability_or_gpu,selectivity_co2_n2,selectivity_co2_ch4,selectivity_co2_h2,reference,category
SPEEK,MIL-101(Cr),40,"293 K, 1.5 bar",29.2,0.75,0.91,-,38.9,32.2,-,Fp87 [496],Other common MMMs containing different MOFs
SPEEK,PEI@MIL-101(Cr),40,"293 K, 1.5 bar",36.2,0.76,0.91,-,47.8,39.8,-,Fp87 [496],Other common MMMs containing different MOFs
xLPEO,CAU-1,0,"308 K, 3 bar, binary CO2/CH4 (50:50) mixture",206,-,11.1,-,-,18.5,-,Fr87 [500],Other common MMMs containing different MOFs
xLPEO,CAU-1,10,"308 K, 3 bar, binary CO2/CH4 (50:50) mixture",261,-,11.9,-,-,21.9,-,Fr87 [500],Other common MMMs containing different MOFs
xLPEO,PEI-CAU-1,10,"308 K, 3 bar, binary CO2/CH4 (50:50) mixture",345,-,14.6,-,-,23.7,-,Fr87 [500],Other common MMMs containing different MOFs
xLPEO,PEI-CAU-1,30,"308 K, 3 bar, binary CO2/CH4 (50:50) mixture",546,-,19.6,-,-,27.8,-,Fr87 [500],Other common MMMs containing different MOFs
PVAm,PEI-g-ZIF-8,16.7,"298 K, 3 bar, binary CO2/N2 (15:85) mixture",656.7,-,-,-,79.9,-,-,Fq87 [499],Other common MMMs containing different MOFs
6FDA-durene,HKUST-1@IL,10,"298 K, 2 atm",145,8.1,7.4,-,17.9,19.6,-,Ft87 [507],Other common MMMs containing different MOFs
Pebax® 1657,[bmim][Tf2N]@ZIF-8,15,"298 K, 1 bar",104.9,1.25,3.01,-,83.9,34.8,-,Fa88 [512],Other common MMMs containing different MOFs
PSf,MIL-68 (in-situ),0,"308 K, 1 bar",5.4,-,0.18,-,-,31.1,-,Ff88 [521],Other common MMMs containing different MOFs
PSf,MIL-68 (in-situ),8,"308 K, 1 bar",4.7,-,0.10,-,-,36.5,-,Ff88 [521],Other common MMMs containing different MOFs
PIM-1,ZIF-71,0,"308 K, 3.5 atm",3294.7,163.6,322.2,-,20.1,10.2,-,Fz89 [558],Other common MMMs containing different MOFs
PIM-1,ZIF-71,20,"308 K, 3.5 atm",5942.0,296.9,498.4,-,20.0,11.9,-,Fz89 [558],Other common MMMs containing different MOFs
