membrane,conditions,binary_gas_pair,gas_i_permeance_1e8_mol_m2_s_pa,gas_j_permeance_1e8_mol_m2_s_pa,separation_factor,reference
GO@S,"298 K, 1 bar",H2/N2,(0.079),(0.02),(3.95),Fc73 [416]
GO@S,"298 K, 1 bar",H2/CO2,(0.079),(0.04),(1.98),Fc73 [416]
GO@S,"298 K, 1 bar",CO2/N2,(0.04),(0.02),(2.0),Fc73 [416]
GO/U@S,"298 K, 1 bar",H2/N2,(1.9),(0.27),(7.04),Fc73 [416]
GO/U@S,"298 K, 1 bar",H2/CO2,(1.9),(0.7),(2.71),Fc73 [416]
GO/U@S,"298 K, 1 bar",CO2/N2,(0.7),(0.27),(2.59),Fc73 [416]
Other common MOF membranes,Other common MOF membranes,Other common MOF membranes,Other common MOF membranes,Other common MOF membranes,Other common MOF membranes,Other common MOF membranes
ZIF-7/Al2O3,"493 K, 1 bar",H2/CO2,4.55 (4.55),0.33 (0.35),13.6 (13.0),Ff76 [421]
ZIF-7/Al2O3,"493 K, 1 bar",H2/N2,4.42 (4.55),0.25 (0.22),18.0 (20.7),Ff76 [421]
ZIF-7/Al2O3,"493 K, 1 bar",H2/CH4,4.36 (4.55),0.31 (0.31),14.0 (14.7),Ff76 [421]
ZIF-8/TiO2,"298 K, 1 bar",H2/CO2,(6.04),(1.33),(4.54),Fg76 [422]
ZIF-8/TiO2,"298 K, 1 bar",H2/N2,(6.04),(0.52),(11.62),Fg76 [422]
ZIF-8/TiO2,"298 K, 1 bar",H2/CH4,5.08 (6.04),0.45 (0.48),11.2 (12.58),Fg76 [422]
ZIF-8/TiO2,"298 K, 1 bar",H2/O2,(6.04),(1.04),(5.81),Fg76 [422]
ZIF-9/Al2O3 tube,"298 K, 1 bar",H2/CO2,11.3 (18.5),0.52 (0.77),21.5 (24.2),Fh76 [423]
ZIF-9/Al2O3 tube,"298 K, 1 bar",H2/N2,11.5 (18.5),1.41 (2.11),8.2 (8.8),Fh76 [423]
ZIF-9/Al2O3 tube,"298 K, 1 bar",H2/CH4,10.2 (18.5),0.69 (1.11),14.7 (16.7),Fh76 [423]
ZIF-22/TiO2,"323 K, 1 bar",H2/CO2,16.6 (20.2),2.3 (2.38),7.2 (8.5),Fi76 [424]
ZIF-22/TiO2,"323 K, 1 bar",H2/N2,18.8 (20.2),2.93 (2.84),6.4 (7.1),Fi76 [424]
ZIF-22/TiO2,"323 K, 1 bar",H2/CH4,17.2 (20.2),3.31 (3.02),5.2 (6.7),Fi76 [424]
ZIF-22/TiO2,"323 K, 1 bar",H2/O2,18.9 (20.2),2.95 (2.8),6.4 (7.2),Fi76 [424]
