material,sbet_m2_g,conditions,co2_uptake_mmol_g,n2_uptake_mmol_g,ch4_uptake_mmol_g,h2_uptake_mmol_g,selectivity_co2_n2,selectivity_co2_ch4,selectivity_co2_h2,reference,category
UiO-66,1192,"293 K, 1 bar",1.73,-,-,-,-,-,-,Fe73 [229],UiO-66-based composite
UiO-66-nGr-1,1598,"273 K, 1 bar",2.99,-,-,-,-,-,-,Fe73 [229],UiO-66-based composite
UiO-66-nGr-1,1598,"293 K, 1 bar",2.02,-,-,-,-,-,-,Fe73 [229],UiO-66-based composite
UiO-66-nGr-2,1623,"273 K, 1 bar",2.87,-,-,-,-,-,-,Fe73 [229],UiO-66-based composite
UiO-66-nGr-2,1623,"293 K, 1 bar",1.99,-,-,-,-,-,-,Fe73 [229],UiO-66-based composite
UiO-66-nGr-6,1526,"273 K, 1 bar",2.94,-,-,-,-,-,-,Fe73 [229],UiO-66-based composite
UiO-66-nGr-6,1526,"293 K, 1 bar",1.99,-,-,-,-,-,-,Fe73 [229],UiO-66-based composite
CP/PEG-PVP-UiO-66-NH2,441,"298 K, 1 bar",1.34,-,0.079,-,-,3.7,-,Ua1 [230],UiO-66-based composite
CP-PEGPVP-UiO-66-ZrCl4,441,"273 K, 1 bar",2.31,-,0.092,-,-,-,-,Ug1 [231],UiO-66-based composite
UiO-66-(OH)2,392,"298 K, 1 bar",3.17,-,-,-,-,-,-,Uw5 [230],UiO-66-based composite
UiO-66-(OH)2/GO (0.15),716,"298 K, 1 bar",4.31,-,-,-,-,-,-,Uw5 [230],UiO-66-based composite
AC,58,"298 K, 5 bar",0.817,0.456,-,-,-,-,-,Uw6 [232],UiO-66-based composite
AC/NH2-MIL-101(Cr),217,"298 K, 5 bar",1.271,0.614,-,-,-,-,-,Uw6 [232],UiO-66-based composite
AC/UiO-66-NH2(Zr),359,"298 K, 5 bar",1.627,0.733,-,-,-,-,-,Uw6 [232],UiO-66-based composite
UiO-66/zeolite-10,1939,"298 K, 30 bar",14.9,-,-,-,-,-,-,Ue2 [233],UiO-66-based composite
MIL-101(Cr),2798,"298 K, 1 bar",3.01,-,-,-,-,-,-,Uy1 [234],UiO-66-based composite
UiO-66,1134,"298 K, 1 bar",2.66,-,-,-,-,-,-,Uy1 [234],UiO-66-based composite
MIL-101(Cr)/UiO-66,2098,"298 K, 1 bar",2.37,-,-,-,-,-,-,Uy1 [234],UiO-66-based composite
iCOP,-,"273 K, 1 bar",0.99,-,-,-,-,-,-,Up6 [235],UiO-66-based composite
NH2-UiO-66,1003,"273 K, 1 bar",3.17,-,-,-,-,-,-,Up6 [235],UiO-66-based composite
M@iCOP-100,162,"273 K, 1 bar",3.33,-,-,-,-,-,-,Up6 [235],UiO-66-based composite
UiO-66-NH2,-,"298 K, 1 bar",2.68,0.157,-,-,17.1,-,-,Fk89 [236],UiO-66-based composite
ZIF-8,-,"298 K, 1 bar",0.788,0.068,-,-,11.6,-,-,Fk89 [236],UiO-66-based composite
UiO-66-NH2@ZIF-8,-,"298 K, 1 bar",2.33,0.043,-,-,54.2,-,-,Fk89 [236],UiO-66-based composite
Cu-BTC,1116,"298 K, 1 bar",1.07,-,-,-,-,-,-,Fc92 [237],UiO-66-based composite
UiO-66,1272,"298 K, 1 bar",0.85,-,-,-,-,-,-,Fc92 [237],UiO-66-based composite
Cu-BTC/UiO-66,255,"298 K, 1 bar",1.32,-,-,-,-,-,-,Fc92 [237],UiO-66-based composite
UiO-66/Cu-BTC,693,"298 K, 1 bar",1.42,-,-,-,-,-,-,Fc92 [237],UiO-66-based composite
UiO-66,1268,"273 K, 1 bar",4.42,-,-,-,-,-,-,Fu95 [238],UiO-66-based composite
TiO2,213,"273 K, 1 bar",0.78,-,-,-,-,-,-,Fu95 [238],UiO-66-based composite
TiO2/UiO-66 (TU-10),452,"273 K, 1 bar",3.52,-,-,-,-,-,-,Fu95 [238],UiO-66-based composite
UiO-66-NH2/2.0GR,791,"273 K, 1 bar",3.26,-,-,-,-,-,-,Fz95 [239],UiO-66-based composite
NH2-UiO-66,871,"298 K, 1 bar",1.30,-,-,-,-,-,-,Fs95 [240],UiO-66-based composite
TiO2,42,"298 K, 1 bar",0.06,-,-,-,-,-,-,Fs95 [240],UiO-66-based composite
NH2-UiO-66/TiO2,284,"298 K, 1 bar",0.56,-,-,-,-,-,-,Fs95 [240],UiO-66-based composite
UiO-66,1229,"298 K, 1 bar",2.96,-,-,-,-,-,-,Fr95 [241],UiO-66-based composite
1.0%Bi2S3/UiO-66,1248,"298 K, 1 bar",2.65,-,-,-,-,-,-,Fr95 [241],UiO-66-based composite
M-1.9%Bi2S3/UiO-66,521,"298 K, 1 bar",1.83,-,-,-,-,-,-,Fr95 [241],UiO-66-based composite
UiO-66,1611,"298 K, 1 bar",1.71,-,-,-,-,-,-,Fx95 [242],UiO-66-based composite
Bulk CN,48,"298 K, 1 bar",0.049,-,-,-,-,-,-,Fx95 [242],UiO-66-based composite
UiO-66/bulk CN,1340,"298 K, 1 bar",1.60,-,-,-,-,-,-,Fx95 [242],UiO-66-based composite
CNNS,109,"298 K, 1 bar",0.165,-,-,-,-,-,-,Fx95 [242],UiO-66-based composite
UiO-66/CNNS,1315,"298 K, 1 bar",1.56,-,-,-,-,-,-,Fx95 [242],UiO-66-based composite
